clementcv;67,010309278350515463917525770;20,618556701030927835051546390;11,428571428571428571428571430;100
audrey974;57,843137254901960784313725490;25,490196078431372549019607840;10,0;0
mumu2762;20;17;7;75
leclodo;20;17;7;75
klkkarl;37,970540098199672667757774140;21,276595744680851063829787230;10,215053763440860215053763440;38,095238095238095238095238100
jeeipox;20;17;7;75
loic61300;20;17;7;75
m_seguin;20;17;7;75
beaufnamico;20;17;7;75
titia99;70,833333333333333333333333330;40,833333333333333333333333330;31,578947368421052631578947370;0
vinzdu88;20;17;7;75
ber1312;89,25438596491228070175438596;35,462555066079295154185022030;7,0967741935483870967741935500;26,666666666666666666666666670
razbi;20;17;7;75
bibiche10120;20;17;7;75
pupajim64;35,382059800664451827242524920;6,3545150501672240802675585300;3,6458333333333333333333333300;50,0
gwenrazor;56,281407035175879396984924620;38,190954773869346733668341710;31,506849315068493150684931510;16,666666666666666666666666670
coachcyril87;20;17;7;75
pom120;20;17;7;75
itsmefrommars;20;17;7;75
gege13;20;17;7;75
quidam7;20;17;7;75
tibreizh;20;17;7;75
tomlozach;20;17;7;75
bouff25;20,418410041841004184100418410;1,8029350104821802935010482200;3,9187227866473149492017416500;70,967741935483870967741935480
vincentd0;20;17;7;75
solid__shnake;20;17;7;75
kailloux77;20;17;7;75
aud26;42,916666666666666666666666670;14,225941422594142259414225940;6,5727699530516431924882629100;23,809523809523809523809523810
boubak95100;20;17;7;75
akiner77;20;17;7;75
kraps38;20;17;7;75
dontchitchi;20;17;7;75
elvinnguyen;47,619047619047619047619047620;12,359550561797752808988764040;2,8688524590163934426229508200;56,2500
yogi_44;46,009085009733939000648929270;5,9817945383615084525357607300;0,9746588693957115009746588700;73,684210526315789473684210530
ophelie777;20;17;7;75
dieselrt13;20;17;7;75
lefrei;42,067988668555240793201133140;10,795454545454545454545454550;3,3898305084745762711864406800;47,368421052631578947368421050
sam7899;20;17;7;75
chanoir7777;20;17;7;75
voleurdersa;21,775898520084566596194503170;18,194640338504936530324400560;4,018912529550827423167848700;65,62500
-zatoichi69-;28,565699772757652720224568910;21,638993036957686127477236210;5,7432432432432432432432432400;61,904761904761904761904761900
abou badgadid93;20;17;7;75
jerome537;20;17;7;75
manu54110;24,664879356568364611260053620;15,013404825737265415549597860;0,8264462809917355371900826400;54,545454545454545454545454550
lunadeum;34,668071654373024236037934670;3,2804232804232804232804232800;2,3529411764705882352941176500;78,947368421052631578947368420
astapis;20;17;7;75
douille67;20;17;7;75
soorikkk;20;17;7;75
ahbon11;20;17;7;75
michelper771;43,442622950819672131147540980;27,049180327868852459016393440;19,512195121951219512195121950;66,666666666666666666666666670
cgaby57;53,958333333333333333333333330;6,0416666666666666666666666700;5,4687500;71,428571428571428571428571430
lalaye;20;17;7;75
tymeo68520;20;17;7;75
bushman3107;20;17;7;75
